Review Title,Aircraft,Type of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food Beverages,Inflight Entertainment,Ground Service,Value For Money,Overall Rating,sentiment_score,sentiment_label,Sentiment Score,Sentiment,Review Length,Route Popularity,Airline Popularity,clean_review,Aircraft_Label
"""BA has failed completely""",A320,Solo Leisure,Economy Class,London to Frankfurt,2020-04-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,1,2.533580549028908,-0.5106,Negative,-0.5106,0,4,5,662,ba has failed completely,26
"""This is appalling business practice!""",A321,Business,Economy Class,London Heathrow to Lyon,2020-02-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,-0.4199,Negative,-0.4199,0,5,1,126,this is appalling business practice,59
"""efficient, clean and punctual""",Embraer 195,Business,Economy Class,London City to Edinburgh,2019-11-01,3.0,4.0,2.7091954022988505,2.636533432947329,5.0,3,3.390954805874363,0.6705,Positive,0.6705,2,4,2,1,efficient clean and punctual,203
""" Total rip off""",Boeing 777,Business,First Class,San Francisco to Edinburgh via London,2020-05-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,1,2.533580549028908,0.0,Neutral,0.0,1,4,1,452, total rip off,145
"""totally ripped off by BA""",Boeing 777,Business,Business Class,Rome to Los Angeles via London,2020-06-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,1,2.533580549028908,0.0,Neutral,0.0,1,5,1,452,totally ripped off by ba,145
"""tickets should have been refunded""",A320,Couple Leisure,Economy Class,Chicago to Seville via Miami / Madrid,2020-03-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,1,2.533580549028908,0.0,Neutral,0.0,1,5,1,662,tickets should have been refunded,26
"""unable to offer a full refund""",A350,Solo Leisure,Premium Economy,London to Tel Aviv,2020-04-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,1,2.533580549028908,0.0,Neutral,0.0,1,6,4,39,unable to offer a full refund,79
"""no refund or voucher""",Boeing 777,Couple Leisure,Business Class,San Diego to Barcelona via London,2019-12-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,1,2.533580549028908,0.0,Neutral,0.0,1,4,1,452,no refund or voucher,145
"""withholding my money""",Boeing 777,Solo Leisure,Economy Class,Toronto to London,2020-05-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,1,2.533580549028908,0.0,Neutral,0.0,1,3,10,452,withholding my money,145
"""all about money with them""",A380,Family Leisure,Premium Economy,Tokyo to London,2020-03-01,3.0,2.0,1.0,3.0,2.0,1,2.0,0.0,Neutral,0.0,1,5,2,302,all about money with them,81
"""arrived 3 hrs 25 mins late""",Boeing 777,Couple Leisure,Economy Class,Los Angeles to Paris via London,2020-03-01,3.0,3.0,2.0,3.0,5.0,1,2.8333333333333335,0.0,Neutral,0.0,1,6,1,452,arrived  hrs  mins late,145
"""it definitely lived up to my expectations""",A350,Couple Leisure,Business Class,London Heathrow to Toronto,2020-02-01,5.0,5.0,5.0,5.0,5.0,5,5.0,0.4019,Positive,0.4019,2,7,3,39,it definitely lived up to my expectations,79
"""cabin crew were friendly and professional""",Boeing 747-400,Couple Leisure,Business Class,Las Vegas to London Heathrow,2020-02-01,5.0,5.0,5.0,2.0,5.0,5,4.5,0.4939,Positive,0.4939,2,6,4,275,cabin crew were friendly and professional,129
"""never use this airline again""",Boeing 777,Solo Leisure,Economy Class,Sydney to London via Singapore,2020-03-01,1.0,1.0,1.0,2.0,1.0,1,1.1666666666666667,0.0,Neutral,0.0,1,5,8,452,never use this airline again,145
"""avoid BA as much as possible""",A380,Business,Economy Class,Zurich to London,2020-04-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,1,2.533580549028908,-0.296,Negative,-0.296,0,6,5,302,avoid ba as much as possible,81
"""trying every trick in the book""",Boeing 787-8 / A320,Couple Leisure,Business Class,Vienna to London,2020-02-01,3.0,3.0,2.7091954022988505,2.636533432947329,3.0,1,2.55762147254103,-0.0516,Negative,-0.0516,0,6,4,2,trying every trick in the book,180
"""stands out in many areas""",A321neo,Solo Leisure,Economy Class,London-Heathrow to Warsaw,2020-03-01,5.0,5.0,2.7091954022988505,2.636533432947329,4.0,3,3.724288139207696,0.0,Neutral,0.0,1,5,1,15,stands out in many areas,72
"""laptop was left inside the flight""",A380,Business,Economy Class,Johannesburg to London,2020-03-01,2.0,3.0,2.0,1.0,1.0,2,1.8333333333333333,0.0,Neutral,0.0,1,6,17,302,laptop was left inside the flight,81
"""worst sort of management bureaucracy""",Boeing 777,Business,Economy Class,London to Stockholm,2020-04-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,1.0,1,2.2409770951351313,-0.6249,Negative,-0.6249,0,5,1,452,worst sort of management bureaucracy,145
"""poor customer service""",A320,Solo Leisure,Economy Class,London to Budapest,2020-03-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,1,2.533580549028908,-0.4767,Negative,-0.4767,0,3,3,662,poor customer service,26
"""lies and lack of informatio""",Boeing 747,Solo Leisure,Business Class,Nashville to London via Chicago,2020-03-01,3.0,5.0,4.0,2.6,3.0,1,3.1,-0.6249,Negative,-0.6249,0,5,1,135,lies and lack of informatio,117
"""understand the turmoil caused by Covid-19""",A380,Solo Leisure,Economy Class,Vancouver to London,2020-03-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,1.0,1,2.2409770951351313,-0.3612,Negative,-0.3612,0,6,17,302,understand the turmoil caused by covid,81
"""A voucher is not sufficient""",A320,Family Leisure,Economy Class,London to Marrakesh,2019-08-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,1,2.533580549028908,0.0,Neutral,0.0,1,5,2,662,a voucher is not sufficient,26
"""use the travel credit by May 2020""",Boeing 777,Couple Leisure,Economy Class,Seattle to Heathrow,2020-03-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,5,3.2002472156955744,0.3818,Positive,0.3818,2,7,1,452,use the travel credit by may ,145
"""thank our crew in particular""",Boeing 777-200,Couple Leisure,Premium Economy,Mumbai to London Heathrow,2020-03-01,5.0,5.0,4.0,2.0,5.0,5,4.333333333333333,0.3612,Positive,0.3612,2,5,2,171,thank our crew in particular,157
"""such deceitful practices""",A320,Business,Economy Class,London to Valencia,2020-03-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,1,2.533580549028908,-0.4404,Negative,-0.4404,0,3,3,662,such deceitful practices,26
"""not surprised they are in trouble""",A320,Couple Leisure,Economy Class,London Gatwick to Funchal,2020-03-01,1.0,4.0,2.7091954022988505,2.636533432947329,1.0,1,2.05762147254103,-0.5213,Negative,-0.5213,0,6,2,662,not surprised they are in trouble,26
"""narrow business class facing seats""",Boeing 747-400,Business,Business Class,Chicago to London Heathrow,2020-03-01,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,Neutral,0.0,1,5,7,275,narrow business class facing seats,129
"""airline needs major overhaul""",Boeing 747-400,Business,Business Class,London to New York JFK,2020-02-01,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,Neutral,0.0,1,4,8,275,airline needs major overhaul,129
"""still forcing people to fly to Madrid""",A320,Solo Leisure,Economy Class,London to Madrid,2020-03-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,1,2.533580549028908,0.0,Neutral,0.0,1,7,9,662,still forcing people to fly to madrid,26
"""unfriendly and inconsiderate to me""",Embraer,Business,Economy Class,Frankfurt to Buenos Aires via London,2019-10-01,2.0,3.0,3.0,2.0,1.0,1,2.0,-0.6597,Negative,-0.6597,0,5,1,18,unfriendly and inconsiderate to me,200
"""live in a conceited bubble""",Boeing 787-9,Business,Business Class,London to Paris CDG,2020-03-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,1,2.533580549028908,0.0,Neutral,0.0,1,5,1,54,live in a conceited bubble,184
"""rude staff and service""",A320,Couple Leisure,Economy Class,London City to Berlin,2020-03-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,1.0,1,2.2409770951351313,-0.4588,Negative,-0.4588,0,4,1,662,rude staff and service,26
"""BA has really upped their game""",Boeing 787,Solo Leisure,Economy Class,London to Beijing,2020-01-01,3.0,5.0,4.0,5.0,4.0,4,4.166666666666667,0.0,Neutral,0.0,1,6,2,97,ba has really upped their game,172
"""friendly and helpful""",A380,Family Leisure,Economy Class,Hong Kong to London,2020-01-01,5.0,5.0,5.0,3.0,5.0,5,4.666666666666667,0.7184,Positive,0.7184,2,3,11,302,friendly and helpful,81
"""Very happy with the service""",Boeing 777-200,Couple Leisure,Economy Class,Mumbai to London,2020-03-01,4.0,5.0,5.0,4.0,5.0,5,4.666666666666667,0.6115,Positive,0.6115,2,5,6,171,very happy with the service,157
"""positive, friendly attitude""",Boeing 777-200,Couple Leisure,Economy Class,London to Delhi,2020-02-01,4.0,5.0,5.0,4.0,2.0,4,4.0,0.7783,Positive,0.7783,2,3,8,171,positive friendly attitude,157
"""flights to Italy for March, all cancelled""",A319,Business,Business Class,Paris to London,2020-02-01,1.0,4.0,2.7091954022988505,2.636533432947329,1.0,1,2.05762147254103,-0.25,Negative,-0.25,0,7,2,196,flights to italy for march all cancelled,10
"""never use British Airways again""",A380,Solo Leisure,Economy Class,Singapore to London,2020-02-01,3.0,3.0,3.0,3.0,1.0,1,2.3333333333333335,0.0,Neutral,0.0,1,5,12,302,never use british airways again,81
"""Food and drinks are expensive""",A319,Solo Leisure,Economy Class,Gatwick to Malaga,2020-02-01,2.0,3.0,1.0,1.4,3.0,3,2.2333333333333334,0.0,Neutral,0.0,1,5,5,196,food and drinks are expensive,10
"""the crew were outstanding""",Boeing 747-400,Solo Leisure,Premium Economy,Vancouver to London,2020-02-01,4.0,5.0,5.0,5.0,4.0,5,4.666666666666667,0.6124,Positive,0.6124,2,4,17,275,the crew were outstanding,129
British Airways customer review,Boeing 787,Business,Business Class,London to Seattle,2020-02-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,1,2.533580549028908,0.0,Neutral,0.0,1,4,5,97,british airways customer review,172
"""food is the standout problem""",Boeing 777,Solo Leisure,First Class,London Heathrow to Nairobi,2020-02-01,3.0,5.0,1.0,3.0,2.0,3,2.8333333333333335,-0.4019,Negative,-0.4019,0,5,3,452,food is the standout problem,145
"""came to me to give me his pillow""",Boeing 777,Couple Leisure,Premium Economy,Dubai to London,2020-02-01,1.0,1.0,1.0,1.4,1.0,1,1.0666666666666667,0.0,Neutral,0.0,1,8,5,452,came to me to give me his pillow,145
"""service that needs training""",Boeing 747-400,Couple Leisure,Business Class,London to Cape Town,2020-02-01,4.0,2.0,1.0,3.0,3.0,3,2.6666666666666665,0.0,Neutral,0.0,1,4,15,275,service that needs training,129
"""packed out seating""",Boeing 787,Solo Leisure,Economy Class,Rio de Janeiro to London,2020-02-01,1.0,3.0,1.0,1.0,1.0,2,1.5,0.0,Neutral,0.0,1,3,2,97,packed out seating,172
"""require a transit visa""",A320,Solo Leisure,Economy Class,Johannesburg to Dublin via London,2020-02-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,0.0,Neutral,0.0,1,4,1,662,require a transit visa,26
"""backward facing seats""",Boeing 747-400,Couple Leisure,Business Class,Las Vegas to Paris via London,2020-02-01,1.0,4.0,3.0,1.0,4.0,1,2.3333333333333335,0.0,Neutral,0.0,1,3,1,275,backward facing seats,129
"""I want a refund""",A320,Couple Leisure,Economy Class,Geneva to Gatwick,2020-01-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,1.0,1,2.2409770951351313,0.0772,Positive,0.0772,2,4,1,662,i want a refund,26
"""crew was amazingly kind and lovely""",Boeing 747-400,Solo Leisure,Economy Class,Mexico City to Manchester via London,2020-01-01,5.0,5.0,4.0,5.0,5.0,4,4.666666666666667,0.8297,Positive,0.8297,2,6,1,275,crew was amazingly kind and lovely,129
"""a good experience with no major complaints""",A321,Solo Leisure,Business Class,London Heathrow to Sofia,2019-10-01,4.0,4.0,4.0,2.6,5.0,4,3.9333333333333336,0.5025,Positive,0.5025,2,7,5,126,a good experience with no major complaints,59
"""Arriving late to board""",A320,Solo Leisure,Economy Class,Manchester to Melbourne via London / Singapore,2019-07-01,2.0,3.0,2.0,2.0,1.0,1,1.8333333333333333,0.0,Neutral,0.0,1,4,1,662,arriving late to board,26
"""a pathetic premium cabin""",A321neo,Business,Business Class,Madrid to London,2020-01-01,2.0,3.0,2.0,1.0,3.0,2,2.1666666666666665,-0.5719,Negative,-0.5719,0,4,9,15,a pathetic premium cabin,72
"""fly this airline again""",A320,Family Leisure,Economy Class,Prague to London,2020-01-01,5.0,5.0,2.7091954022988505,2.636533432947329,3.0,5,3.890954805874363,0.0,Neutral,0.0,1,4,5,662,fly this airline again,26
"""breakfast become rather perfunctory""",A380-800,Couple Leisure,Business Class,Johannesburg to London,2020-01-01,3.0,4.0,3.0,3.0,3.0,3,3.1666666666666665,0.0,Neutral,0.0,1,4,17,12,breakfast become rather perfunctory,94
"""very disappointing service""",Boeing 777-200,Business,Business Class,Las Vegas to Gatwick,2020-01-01,2.0,2.0,2.0,4.0,4.0,1,2.5,-0.5413,Negative,-0.5413,0,3,1,171,very disappointing service,157
"""roller coaster of incompetence""",Boeing 747-400,Business,Business Class,San Diego to Stockholm via London,2020-01-01,5.0,5.0,5.0,3.0,1.0,3,3.6666666666666665,-0.5106,Negative,-0.5106,0,4,1,275,roller coaster of incompetence,129
"""SLOW lounge continues to impress""",A320,Couple Leisure,Business Class,Cape Town to Johannesburg,2020-01-01,4.0,4.0,3.0,3.4,4.0,4,3.733333333333333,0.4404,Positive,0.4404,2,5,1,662,slow lounge continues to impress,26
"""thank you for your service and kindness""",Boeing 777 / A320,Solo Leisure,Economy Class,New York to London Heathrow via Copenhagen,2019-12-01,5.0,5.0,5.0,5.0,5.0,5,5.0,0.6705,Positive,0.6705,2,7,1,5,thank you for your service and kindness,150
"""more than acceptable service""",Boeing 787-9,Business,Business Class,Phoenix to London,2020-01-01,3.0,5.0,4.0,4.0,3.0,5,4.0,0.3774,Positive,0.3774,2,4,1,54,more than acceptable service,184
"""only saving grace was a superb cabin staff""",Boeing 777-200,Solo Leisure,Economy Class,London Heathrow to Bangkok,2020-01-01,2.0,4.0,4.0,1.0,4.0,2,2.8333333333333335,0.7845,Positive,0.7845,2,8,8,171,only saving grace was a superb cabin staff,157
"""the service was good""",Boeing 777-200ER,Solo Leisure,Economy Class,Mumbai to Boston via London,2020-01-01,2.0,5.0,5.0,2.0,1.0,3,3.0,0.4404,Positive,0.4404,2,4,1,10,the service was good,163
"""refund for seat assignments""",Boeing 777-200,Family Leisure,Economy Class,"Orlando, Florida to Accra, Ghana",2019-12-01,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,Neutral,0.0,1,4,1,171,refund for seat assignments,157
"""still consider other airlines""",Boeing 787 / A320,Solo Leisure,Economy Class,Toronto to Geneva via London,2020-01-01,4.0,5.0,4.0,3.0,4.0,3,3.8333333333333335,0.0,Neutral,0.0,1,4,1,6,still consider other airlines,174
"""sleeping was quite impossible""",Boeing 777-300,Solo Leisure,First Class,Hong Kong to London,2020-01-01,4.0,5.0,5.0,4.0,4.0,4,4.333333333333333,0.0,Neutral,0.0,1,4,11,54,sleeping was quite impossible,167
"""Layout of Boeing 787 cabin is poor""",Boeing 787,Business,Economy Class,San Jose to Amsterdam via London,2020-01-01,1.0,1.0,2.0,3.0,2.0,3,2.0,-0.4767,Negative,-0.4767,0,7,1,97,layout of boeing  cabin is poor,172
"""luggage was not loaded""",Boeing 777,Couple Leisure,Business Class,Singapore to Paris via London,2020-01-01,3.0,4.0,4.0,4.0,1.0,2,3.0,0.0,Neutral,0.0,1,4,1,452,luggage was not loaded,145
"""Everything went like clockwork""",A321neo,Solo Leisure,Economy Class,Warsaw to London,2020-01-01,5.0,5.0,5.0,3.4,4.0,5,4.566666666666666,0.3612,Positive,0.3612,2,4,3,15,everything went like clockwork,72
"""I would recommend BA""",Boeing 747-400,Family Leisure,Economy Class,New York  to London Heathrow,2020-01-01,4.0,5.0,3.0,4.0,5.0,4,4.166666666666667,0.3612,Positive,0.3612,2,4,1,275,i would recommend ba,129
"""never fly BA again""",A380,Family Leisure,Economy Class,London to Los Angeles,2019-12-01,2.0,1.0,2.0,2.0,1.0,3,1.8333333333333333,0.0,Neutral,0.0,1,4,10,302,never fly ba again,81
"""need to move with the times""",Boeing 737-800,Couple Leisure,Business Class,Johannesburg to Cape Town,2020-01-01,3.0,3.0,3.0,3.4,4.0,4,3.4,0.0,Neutral,0.0,1,6,3,6,need to move with the times,115
"""offer a kids free zone""",Boeing 777-200,Business,Business Class,London to Bangkok,2020-01-01,2.0,1.0,1.0,1.4,2.0,2,1.5666666666666667,0.5106,Positive,0.5106,2,5,6,171,offer a kids free zone,157
"""Overall a good flight""",A380,Couple Leisure,Business Class,London to Johannesburg,2020-01-01,4.0,4.0,4.0,3.0,4.0,4,3.8333333333333335,0.4404,Positive,0.4404,2,4,21,302,overall a good flight,81
"""a very comfortable flight""",Boeing 777-200 / 747-400,Solo Leisure,Economy Class,Boston to Mumbai via London,2019-12-01,2.0,5.0,4.0,2.0,1.0,5,3.1666666666666665,0.5563,Positive,0.5563,2,4,1,2,a very comfortable flight,158
"""my husbands seat was broken""",A380,Couple Leisure,Business Class,Los Angeles to London,2020-01-01,1.0,1.0,1.0,1.4,1.0,1,1.0666666666666667,-0.4767,Negative,-0.4767,0,5,12,302,my husbands seat was broken,81
"""My food was bad""",Boeing 777-200,Solo Leisure,Premium Economy,Gatwick to Cancun,2020-01-01,3.0,1.0,1.0,2.0,3.0,2,2.0,-0.5423,Negative,-0.5423,0,4,5,171,my food was bad,157
"""could not fault one aspect of the service""",A320,Solo Leisure,Business Class,London Gatwick to Glasgow,2020-01-01,4.0,5.0,4.0,2.6,5.0,4,4.1000000000000005,0.3089,Positive,0.3089,2,8,2,662,could not fault one aspect of the service,26
"""All in all great service""",Boeing 787-8,Solo Leisure,Business Class,Rio De Janeiro to London Heathrow,2019-12-01,5.0,5.0,5.0,3.4,4.0,5,4.566666666666666,0.6249,Positive,0.6249,2,5,1,16,all in all great service,178
"""disappointed by the service""",A320,Business,Business Class,Gatwick to Tirana,2020-01-01,1.0,3.0,2.0,1.0,4.0,2,2.1666666666666665,-0.4767,Negative,-0.4767,0,4,2,662,disappointed by the service,26
"""Crew very friendly""",A320,Couple Leisure,Business Class,Keflavik to London Heathrow,2020-01-01,3.0,5.0,5.0,3.4,4.0,5,4.233333333333333,0.5413,Positive,0.5413,2,3,2,662,crew very friendly,26
"""my food was inedible""",A350-1000,Couple Leisure,Economy Class,London Heathrow to Vancouver,2020-01-01,1.0,3.0,1.0,1.0,2.0,1,1.5,0.0,Neutral,0.0,1,4,4,10,my food was inedible,80
"""staff were incredibly rude and lazy""",Boeing 787-9,Couple Leisure,Economy Class,Tokyo to London Heathrow,2020-01-01,2.0,1.0,1.0,1.0,5.0,1,1.8333333333333333,-0.7233,Negative,-0.7233,0,6,2,54,staff were incredibly rude and lazy,184
"""job's worth high handed attitude""",A380,Couple Leisure,Business Class,London to Hong Kong,2019-12-01,3.0,4.0,3.0,4.0,1.0,3,3.0,0.2263,Positive,0.2263,2,5,15,302,jobs worth high handed attitude,81
"""They have the worst customer service""",Boeing 747,Family Leisure,Business Class,Los Angeles to London Heathrow,2020-01-01,1.0,3.0,2.0,2.0,1.0,1,1.6666666666666667,-0.6249,Negative,-0.6249,0,6,8,135,they have the worst customer service,117
"""BA product is now tired""",A320,Solo Leisure,Economy Class,Istanbul to London,2020-01-01,2.0,2.0,2.7091954022988505,2.636533432947329,1.0,1,1.8909548058743633,-0.4404,Negative,-0.4404,0,5,10,662,ba product is now tired,26
"""no sandwiches left to purchase""",A320,Solo Leisure,Economy Class,London to Bucharest,2019-12-01,2.0,2.0,1.0,1.4,1.0,1,1.4000000000000001,0.0,Neutral,0.0,1,5,2,662,no sandwiches left to purchase,26
"""another very good flight""",Boeing 787-9,Solo Leisure,Business Class,London to Rio De Janeiro,2019-12-01,5.0,5.0,5.0,5.0,4.0,5,4.833333333333333,0.4927,Positive,0.4927,2,4,1,54,another very good flight,184
"""don't provide free food and drink""",A321neo,Family Leisure,Economy Class,London to Athens,2019-12-01,3.0,1.0,1.0,1.4,3.0,4,2.2333333333333334,-0.4023,Negative,-0.4023,0,6,11,15,dont provide free food and drink,72
"""way below expected service""",A380,Solo Leisure,Economy Class,Copenhagen to London,2019-12-01,2.0,1.0,1.0,1.4,1.0,1,1.2333333333333334,0.0,Neutral,0.0,1,4,4,302,way below expected service,81
"""onboard charity collection is inappropriate""",A320,Solo Leisure,Economy Class,Budapest to Billund via London,2019-12-01,3.0,3.0,2.0,1.0,4.0,3,2.6666666666666665,0.4215,Positive,0.4215,2,5,1,662,onboard charity collection is inappropriate,26
"""staff were so friendly""",Boeing 737,Solo Leisure,Economy Class,Cape Town to Brussels via London,2019-12-01,3.0,5.0,4.0,3.0,4.0,4,3.8333333333333335,0.6269,Positive,0.6269,2,4,1,9,staff were so friendly,112
"""comfort and service superb""",Boeing 777-300ER,Solo Leisure,Economy Class,Sydney to Toulouse via Singapore / London,2019-12-01,5.0,5.0,5.0,2.0,4.0,5,4.333333333333333,0.765,Positive,0.765,2,4,1,18,comfort and service superb,169
"""good overall experience""",A321neo,Solo Leisure,Business Class,Sofia to London,2019-10-01,3.0,4.0,4.0,2.6,3.0,4,3.4333333333333336,0.4404,Positive,0.4404,2,3,1,15,good overall experience,72
"""cabin crew were very friendly""",B737-400 / A380 / A319,Couple Leisure,Business Class,Edinburgh to Barbados via Gatwick,2019-12-01,5.0,5.0,5.0,5.0,5.0,5,5.0,0.5413,Positive,0.5413,2,5,1,2,cabin crew were very friendly,100
"""delayed by 20 mins""",A320,Solo Leisure,Economy Class,London to Munich,2019-12-01,2.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.7242881392076965,-0.2263,Negative,-0.2263,0,4,4,662,delayed by  mins,26
"""middle name was not on her ticket""",A380,Family Leisure,Economy Class,Hong Kong to London,2019-12-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,2,2.7002472156955744,0.0,Neutral,0.0,1,7,11,302,middle name was not on her ticket,81
"""charged 4 times for one bag""",A321,Couple Leisure,Economy Class,London to Paris,2019-08-01,2.0,2.0,2.7091954022988505,2.636533432947329,1.0,1,1.8909548058743633,-0.2023,Negative,-0.2023,0,6,8,126,charged  times for one bag,59
"""cabin manager did not greet me""",Boeing 777 - 200,Business,Economy Class,New York to London,2019-12-01,2.0,2.0,1.0,1.0,5.0,5,2.6666666666666665,-0.2411,Negative,-0.2411,0,6,8,1,cabin manager did not greet me,146
"""no proof I paid for them""",Boeing 747,Family Leisure,Premium Economy,Austin to London,2019-10-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,1,2.533580549028908,0.0,Neutral,0.0,1,6,3,135,no proof i paid for them,117
"""Awful airline""",Embraer,Couple Leisure,Economy Class,Frankfurt to London,2019-12-01,1.0,1.0,1.0,1.0,1.0,1,1.0,-0.4588,Negative,-0.4588,0,2,5,18,awful airline,200
""" Flight is again delayed""",A320,Solo Leisure,Economy Class,London to Glasgow,2019-12-01,1.0,1.0,1.0,1.0,1.0,1,1.0,-0.2263,Negative,-0.2263,0,5,5,662, flight is again delayed,26
"""This flight was a delight""",Boeing 747-400,Business,Business Class,London to San Francisco,2019-12-01,3.0,5.0,4.0,4.0,5.0,4,4.166666666666667,0.5994,Positive,0.5994,2,5,8,275,this flight was a delight,129
"""we had to print out boarding passes""",A319,Couple Leisure,Economy Class,Heathrow to Belfast,2019-12-01,2.0,5.0,5.0,3.4,1.0,3,3.233333333333333,0.0,Neutral,0.0,1,7,3,196,we had to print out boarding passes,10
"""You get what you pay for""",A380,Solo Leisure,Business Class,London to Singapore,2019-10-01,4.0,5.0,5.0,1.0,5.0,5,4.166666666666667,-0.1027,Negative,-0.1027,0,6,8,302,you get what you pay for,81
"""Awful, rude airline""",A320,Business,Economy Class,Toulouse to London,2019-11-01,1.0,1.0,2.7091954022988505,2.636533432947329,3.0,1,1.8909548058743633,-0.7184,Negative,-0.7184,0,3,1,662,awful rude airline,26
"""Seats the same as economy""",A319,Solo Leisure,Business Class,London Heathrow to Stockholm,2019-11-01,3.0,5.0,5.0,3.4,5.0,4,4.233333333333333,0.0,Neutral,0.0,1,5,3,196,seats the same as economy,10
"""we had limited recline seats seats""",A380,Family Leisure,Economy Class,Johannesburg to London,2019-11-01,1.0,3.0,3.0,3.0,2.0,1,2.1666666666666665,-0.2263,Negative,-0.2263,0,6,17,302,we had limited recline seats seats,81
"""Overall a good flight""",A380,Couple Leisure,Business Class,Johannesburg to London,2019-12-01,3.0,3.0,3.0,3.0,3.0,4,3.1666666666666665,0.4404,Positive,0.4404,2,4,17,302,overall a good flight,81
"""crew are so friendly""",Boeing 747-400,Solo Leisure,First Class,London Heathrow to Miami,2019-11-01,4.0,5.0,5.0,5.0,5.0,5,4.833333333333333,0.6269,Positive,0.6269,2,4,7,275,crew are so friendly,129
"""excellent with service""",A319,Solo Leisure,Business Class,Stockholm to London Heathrow,2019-11-01,3.0,5.0,5.0,3.4,5.0,4,4.233333333333333,0.5719,Positive,0.5719,2,3,3,196,excellent with service,10
"""cabin crew where fantastic""",Boeing 777-300,Couple Leisure,Economy Class,London to Sydney via Singapore,2019-11-01,3.0,4.0,4.0,2.0,3.0,4,3.3333333333333335,0.5574,Positive,0.5574,2,4,5,54,cabin crew where fantastic,167
"""utter nightmares""",Boeing 747-400,Couple Leisure,Business Class,London to New York JFK,2019-11-01,1.0,4.0,3.0,1.0,1.0,1,1.8333333333333333,0.0,Neutral,0.0,1,2,8,275,utter nightmares,129
"""the shortage of staff""",Boeing 777-200,Solo Leisure,Business Class,Gatwick to Bridgetown,2019-12-01,3.0,2.0,3.0,3.0,3.0,2,2.6666666666666665,-0.25,Negative,-0.25,0,4,4,171,the shortage of staff,157
"""lacks personalized attention""",Boeing 777,Business,Business Class,Brussels to Bangkok via London,2019-11-01,4.0,2.0,2.0,3.0,4.0,3,3.0,0.0,Neutral,0.0,1,3,1,452,lacks personalized attention,145
"""missed my connecting flight""",Boeing 777-200,Business,Economy Class,San Francisco to Oslo via London,2019-11-01,1.0,2.0,2.0,2.0,1.0,1,1.5,-0.296,Negative,-0.296,0,4,1,171,missed my connecting flight,157
"""said that I need to check my baggage""",Boeing 777,Couple Leisure,Economy Class,Los Angeles to Berlin via London,2019-11-01,3.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.8909548058743633,0.0,Neutral,0.0,1,8,1,452,said that i need to check my baggage,145
"""inflight service was distinctly average""",A380,Couple Leisure,Business Class,London to Johannesburg,2019-11-01,3.0,3.0,3.0,3.0,3.0,3,3.0,0.0,Neutral,0.0,1,5,21,302,inflight service was distinctly average,81
"""delayed due to maintenance""",Boeing 787 Dreamliner,Business,Premium Economy,London to Bangalore,2019-11-01,4.0,4.0,2.0,2.0,2.0,2,2.6666666666666665,-0.2263,Negative,-0.2263,0,4,3,2,delayed due to maintenance,175
"""cabin crew were so kind""",Boeing 777-300,Solo Leisure,Economy Class,London to Sydney via Singapore,2019-11-01,5.0,5.0,3.0,3.4,5.0,5,4.3999999999999995,0.656,Positive,0.656,2,5,5,54,cabin crew were so kind,167
